backtest,total_trades,average_win,average_loss,average_annual_return,drawdown,expectancy,net_profit,sharpe_ratio,loss_rate,win_rate,profit_loss_ratio,trade_frequency,total_trades_2,average_win_2,average_loss_2,annual_return,net_profit_2,sharpe_ratio_2,loss_rate_2,win_rate_2,profit_loss_ratio_2,trade_frequency_2,compounding_annual_return,alpha,beta,annual_standard_deviation,annual_variance,information_ratio,tracking_error,treynor_ratio,total_fees,probabilistic_sharpe_ratio,estimated_strategy_capacity,lowest_capacity_asset,sortino_ratio,portfolio_turnover,total_orders,start_equity,end_equity
embedded_backtest_ac16122f6f4279d2fac544ff90bbf362.html,,,,,64.6,-1,,,,,,,8,0,-8.65,,-57.743,-1.319,100,0,0,,-57.776,-0.678,-0.25,0.539,0.291,-1.516,0.556,2.847,,,,,,,,,
embedded_backtest_0a334f254ba03c7b32902e6a87c73159.html,,,,,0.9,1.048,,,,,,,20,0.01,0,,0.774,2.401,33,67,2.07,,9.013,0.05,0.13,0.028,0.001,-1.162,0.06,0.52,,,,,,,,,
embedded_backtest_a4ced23430b9fbd43137ba33143ea500.html,,,,,74.5,0,,,,,,,1,130.78,0,,130.78,0.324,0,100,0,,5.362,0.026,1.04,0.335,0.112,0.113,0.255,0.104,,,,,,,,,
embedded_backtest_2e55706ba20357cfac8eae0904658757.html,,,,,5.8,0.31,,,,,,,2,14.03,-8.66,,4.16,0.481,50,50,1.62,,4.164,0.062,-0.061,0.093,0.009,-1.604,0.15,-0.737,,,,,,,,,
embedded_backtest_f59420a282d939b47c22067478a8a636.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,,,,,,,,,,,,,,,,
embedded_backtest_a1154e549b06c037f86bb05d525d8a0d.html,,,,,71.8,11.443,,,,,,,3,89.96,-2.48,,80.664,0.28,67,33,36.33,,3.931,0.085,0.037,0.312,0.098,0.07,0.369,2.36,,,,,,,,,
embedded_backtest_6020b085d20972c45e35cbc4f6650c18.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_6ee7627f4c1151e1c705f3dea623dc06.html,,,,,27.2,0.188,,,,,,,36,7.13,-3.85,,19.783,0.149,58,42,1.85,,1.047,0.009,0.1,0.114,0.013,-0.308,0.215,0.169,,,,,,,,,
embedded_backtest_8170283b5dc5e6907801dd75413c13e1.html,,,,,33.4,0.588,,,,,,,119,3.21,-2.2,,295.704,1.206,35,65,1.45,,25.757,0.131,0.688,0.208,0.043,0.436,0.176,0.365,,,,,,,,,
embedded_backtest_46df2483bc8458b3ac06e6c8d9c23138.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_aa115908266b1c3c0d7afdeb55e4a5a6.html,,,,,16.4,0.317,,,,,,,498,0.64,-0.61,,158.22,0.856,36,64,1.05,,8.591,0.057,0.301,0.103,0.011,-0.094,0.16,0.292,,,,,,,,,
embedded_backtest_e3eaa325ec54f384d037974f0bd90fb7.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,,,,,,,,,,,,,,,,
embedded_backtest_faefe073e0d0d48e642f2217f579ff37.html,,,,,25.4,0.351,,,,,,,128,2.05,-1.36,,74.384,0.417,46,54,1.51,,5.003,0.024,0.365,0.141,0.02,-0.214,0.174,0.161,,,,,,,,,
embedded_backtest_8eb3ca90c9cbbc150dfbb9c69563f139.html,,,,,5.3,-1,,,,,,,1,0,-1.16,,-1.165,-0.62,100,0,0,,-12.888,-0.06,0.14,0.135,0.018,0.508,0.166,-0.595,,,,,,,,,
embedded_backtest_84afa1de62d2c53902cee8b8057c51f8.html,,,,,2.2,0,,,,,,,1,0,0,,1.663,4.41,0,0,0,,263.209,0.007,76.134,0.192,0.037,4.354,0.192,0.011,,,,,,,,,
embedded_backtest_789cc44dc0ed6f0d1cb374e8c218e3fb.html,,,,,49.4,0.026,,,,,,,1140,1.29,-1.24,,15.711,0.203,50,50,1.04,,1.988,0.001,0.504,0.246,0.06,-0.19,0.245,0.099,,,,,,,,,
embedded_backtest_c95dab37e661fffca172d8970c2c15f8.html,,,,,19.4,-0.023,,,,,,,564,0.53,-0.46,,-6.935,-0.16,55,45,1.16,,-1.429,0.023,-0.245,0.073,0.005,-0.75,0.206,0.048,,,,,,,,,
embedded_backtest_5ca6eb41872e2e36e3b3df0b0f9f8415.html,,,,,26.1,0.475,,,,,,,134,5.16,-4.23,,1027.513,1.045,34,66,1.22,,23.642,0.208,0.326,0.228,0.052,0.563,0.255,0.731,,,,,,,,,
embedded_backtest_9be5eb4bee4eab49435a82175bbc8b60.html,,,,,45.4,-0.31,,,,,,,4992,0.06,-0.04,,-45.117,-8.655,73,27,1.6,,-31.518,-0.38,0.019,0.043,0.002,-4.587,0.128,-19.324,,,,,,,,,
embedded_backtest_3c76194304f61b532faaf018942ae4b2.html,,,,,19.9,0,,,,,,,1,93.15,0,,93.151,0.912,0,100,0,,14.086,0.002,1,0.158,0.025,0.107,0.014,0.144,,,,,,,,,
embedded_backtest_d7b2f76d8c5e452dc636460956563447.html,,,,,0.2,-1,,,,,,,1,0,-0.14,,-0.135,-1.943,100,0,0,,-0.123,-0.001,0,0.001,0,-0.988,0.102,-13.164,,,,,,,,,
embedded_backtest_804b1df2efc9b6b250485fb583d23dd3.html,,,,,0,0,,,,,,,1,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_acf9bf5533ac5b10f151099c6e18026a.html,,,,,3.8,0.27,,,,,,,192,0.76,-0.37,,20.574,1.409,58,42,2.05,,7.96,0.037,0.222,0.055,0.003,-1.06,0.101,0.351,,,,,,,,,
embedded_backtest_5265122d29e00aa3234d3ff63c6c22b0.html,,,,,1,0,,,,,,,16,0.66,0,,6.566,3.473,0,100,0,,13.599,0.112,-0.027,0.03,0.001,-1.647,0.104,-3.939,,96.44,,,,,,,
embedded_backtest_e5279d8982bb36091cf63305b1cc65ce.html,,,,,2,0.743,,,,,,,20,0.64,-0.26,,3.85,3.133,50,50,2.49,,16.621,0.16,0.061,0.049,0.002,2.15,0.108,2.53,,,,,,,,,
embedded_backtest_a286f703cde38642ac62fb6d6200aecf.html,,,,,4,-1,,,,,,,1,0,-4.02,,-4.016,-1.237,100,0,0,,-1.979,-0.016,0,0.013,0,-1.342,0.102,-93.76,,,,,,,,,
