predictor,rn,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
adx_dip_66_rsi_264,Annualized Std Dev,0.8981,0.2855,0.1969,0.1682,0.1779,0.4552,0.2772,0.2092,0.175,0.1578,0.7233,0.2692,0.2213,0.1807,0.1578,0.3385,0.4341,0.2291,0.1881,0.1559,0.3535,0.2573,0.2071,0.1902,0.1724
adx_dip_66_rsi_264,Annualized Sharpe (Rf=0%),0.4149,0.407,0.6277,0.5337,0.69,0.3081,0.3294,0.4429,0.6959,0.7685,0.2718,0.2028,0.3686,0.6124,0.7372,0.0903,0.2373,0.4768,0.647,0.798,0.206,0.1708,0.2462,0.4878,0.8659
sharpe_132_bbands_dn_5,Annualized Return,0.2151,0.1479,0.1078,0.1317,0.2983,0.1597,0.0824,0.0992,0.1404,0.0635,0.1442,0.1201,0.1212,0.1002,0.086,0.1185,0.1111,0.1021,0.0892,0.1305,0.1378,0.1489,0.1186,0.1309,0.0732
sharpe_132_bbands_dn_5,Annualized Std Dev,0.5017,0.2955,0.3056,0.5843,1.3586,0.1946,0.2086,0.2371,0.3211,0.3527,0.1784,0.1912,0.2051,0.2492,0.4546,0.1534,0.1675,0.1899,0.2101,0.2805,0.1284,0.1562,0.1725,0.2022,0.233
sharpe_132_bbands_dn_5,Annualized Sharpe (Rf=0%),0.4288,0.5007,0.3527,0.2254,0.2195,0.8208,0.3951,0.4183,0.4372,0.1801,0.8084,0.6283,0.5913,0.4021,0.1892,0.7724,0.6631,0.5375,0.4246,0.4652,1.073,0.9532,0.6875,0.6471,0.3143
sharpe_132_bbands_pctB_10,Annualized Return,0.5037,0.1735,0.062,0.0398,0.0069,0.2664,0.0819,0.103,0.0519,0.0353,0.178,0.1272,0.1134,0.076,0.0853,0.1315,0.0988,0.1194,0.1196,0.0872,0.1703,0.1618,0.1415,0.1306,0.0607
sharpe_132_bbands_pctB_10,Annualized Std Dev,1.2597,0.4332,0.3195,0.3182,0.3434,0.2919,0.255,0.2814,0.2476,0.2548,0.2408,0.2225,0.2175,0.2188,0.3908,0.2005,0.2066,0.1933,0.1963,0.1833,0.1938,0.1935,0.2021,0.1774,0.1624
sharpe_132_bbands_pctB_10,Annualized Sharpe (Rf=0%),0.3998,0.4006,0.1941,0.125,0.02,0.9126,0.3212,0.366,0.2096,0.1387,0.7395,0.5718,0.5214,0.3475,0.2183,0.6559,0.4781,0.6178,0.609,0.4755,0.8788,0.8362,0.7001,0.7361,0.3741
sharpe_132_bbands_dn_66,Annualized Return,0.3136,0.0706,0.1405,0.0178,0.3017,0.1291,0.1232,0.0899,0.0827,0.1069,0.1284,0.1052,0.1092,0.0728,0.1406,0.1014,0.1018,0.0984,0.1074,0.1395,0.1268,0.101,0.1091,0.1388,0.1434
sharpe_132_bbands_dn_66,Annualized Std Dev,0.8322,0.2595,0.3194,0.3456,1.7619,0.215,0.2317,0.2302,0.2978,0.4347,0.1983,0.1819,0.2017,0.2344,0.5619,0.1752,0.1604,0.1795,0.2035,0.2767,0.1699,0.1476,0.155,0.1631,0.2347
sharpe_132_bbands_dn_66,Annualized Sharpe (Rf=0%),0.3768,0.272,0.4399,0.0514,0.1712,0.6002,0.5315,0.3906,0.2778,0.2458,0.6476,0.5785,0.5414,0.3105,0.2502,0.5789,0.6348,0.5484,0.5279,0.5042,0.7466,0.6843,0.7038,0.8509,0.6108
sharpe_132_keltnerchannels_dn_5,Annualized Return,0.0963,0.082,0.1057,0.0855,0.4259,0.1096,0.1204,0.0973,0.0794,0.1379,0.1035,0.1174,0.1236,0.0989,0.1041,0.1087,0.1107,0.1172,0.1131,0.0978,0.1056,0.1211,0.1301,0.1391,0.1277
sharpe_132_keltnerchannels_dn_5,Annualized Std Dev,0.1817,0.2181,0.4414,0.3496,1.2566,0.152,0.1876,0.229,0.2821,0.426,0.1419,0.1802,0.2106,0.2584,0.4883,0.1266,0.1626,0.195,0.2273,0.3602,0.1069,0.1435,0.1703,0.2168,0.3169
sharpe_132_keltnerchannels_dn_5,Annualized Sharpe (Rf=0%),0.5298,0.3762,0.2395,0.2444,0.339,0.7207,0.6417,0.4251,0.2814,0.3237,0.7296,0.6517,0.587,0.3826,0.2133,0.8584,0.6807,0.6009,0.4973,0.2717,0.9879,0.8443,0.7641,0.6416,0.4029
sharpe_132_rsi_22,Annualized Return,0.3917,0.0816,0.0504,-0.0126,-0.1042,0.1587,0.1309,0.1071,0.0727,-0.0218,0.1552,0.1923,0.1031,0.0671,0.0609,0.1017,0.106,0.1245,0.0914,0.122,0.2449,0.1771,0.1404,0.1526,0.0921
sharpe_132_rsi_22,Annualized Std Dev,0.8309,0.3011,0.3415,0.382,0.5389,0.2928,0.2714,0.2444,0.2415,0.267,0.2593,0.4259,0.2137,0.2062,0.2159,0.2345,0.2125,0.1922,0.1872,0.1901,0.336,0.246,0.1957,0.1843,0.1559
sharpe_132_rsi_22,Annualized Sharpe (Rf=0%),0.4714,0.2711,0.1475,-0.0329,-0.1934,0.542,0.4824,0.4383,0.3011,-0.0816,0.5985,0.4516,0.4826,0.3256,0.282,0.4337,0.4988,0.6475,0.4885,0.6419,0.7288,0.72,0.7173,0.828,0.5907
sharpe_132_close_ath,Annualized Return,0.5388,0.0159,0.0671,0.141,0.0717,0.175,0.0817,0.0747,0.1202,0.1093,0.1716,0.0905,0.084,0.1121,0.1103,0.147,0.1025,0.0832,0.1265,0.1086,0.1299,0.1003,0.1166,0.128,0.1229
sharpe_132_close_ath,Annualized Std Dev,1.2943,0.3216,0.2446,0.178,0.1029,0.4084,0.3005,0.2362,0.1752,0.1235,0.4855,0.2721,0.2234,0.1831,0.1364,0.3126,0.2623,0.2088,0.1787,0.1352,0.3016,0.2445,0.2096,0.1781,0.1315
sharpe_132_close_ath,Annualized Sharpe (Rf=0%),0.4163,0.0496,0.2744,0.7924,0.6967,0.4284,0.272,0.3163,0.686,0.8855,0.3535,0.3327,0.3759,0.6123,0.8091,0.4703,0.391,0.3985,0.7079,0.8036,0.4307,0.4103,0.556,0.7186,0.9348
sharpe_132_dochian_low_5,Annualized Return,0.1925,0.1267,0.1597,0.0871,0.3547,0.2128,0.1149,0.0869,0.075,0.0636,0.1853,0.1099,0.1077,0.0855,0.0834,0.1326,0.1241,0.0881,0.0975,0.1071,0.1302,0.1498,0.115,0.1071,0.1133
sharpe_132_dochian_low_5,Annualized Std Dev,0.3049,0.2721,0.4856,0.4174,1.5043,0.2302,0.2099,0.2301,0.2856,0.3626,0.1958,0.1873,0.2093,0.2326,0.4588,0.1495,0.1743,0.1839,0.2039,0.2919,0.1259,0.1562,0.173,0.189,0.2414
